"","X","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round","alphas","betas","dist"
"125",125,"CDEDBDiis","Sali Juvenile Survival","Scenario 2c","Refuge",0.4,0.45,0.6,0.9,"Round 2",28.8044153917118,35.1660561398203,"beta"
"126",126,"CDEDBDiis","Sali Juvenile Survival","Scenario 3","Refuge",0.55,0.63,0.7,0.9,"Round 2",69.5418875760462,40.8474939734559,"beta"
"127",127,"96929","Sali Juvenile Survival","Scenario 1a","HMU",0.4,0.6,0.8,0.9,"Round 2",9.30885670024046,6.3694326805772,"beta"
"128",128,"96929","Sali Juvenile Survival","Scenario 1b","HMU",0.2,0.35,0.5,0.9,"Round 2",9.52528256437405,17.53385449255,"beta"
"129",129,"96929","Sali Juvenile Survival","Scenario 1c","HMU",0.3,0.45,0.65,0.9,"Round 2",9.38663412573342,11.2519432708553,"beta"
"130",130,"96929","Sali Juvenile Survival","Scenario 2a","HMU",0.35,0.5,0.7,0.9,"Round 2",10.5397732960267,10.4282707518569,"beta"
"131",131,"96929","Sali Juvenile Survival","Scenario 2b","HMU",0.2,0.3,0.45,0.9,"Round 2",10.5409937839718,24.3092979712126,"beta"
"132",132,"96929","Sali Juvenile Survival","Scenario 2c","HMU",0.25,0.35,0.5,0.9,"Round 2",13.0901535363782,24.1459529780036,"beta"
"133",133,"96929","Sali Juvenile Survival","Scenario 3","HMU",0.4,0.6,0.8,0.9,"Round 2",9.37097594059592,6.40311504670019,"beta"
"134",134,"96929","Sali Juvenile Survival","Scenario 1a","Refuge",0.4,0.6,0.8,0.9,"Round 2",9.37528043778613,6.40153782685729,"beta"
"135",135,"96929","Sali Juvenile Survival","Scenario 1b","Refuge",0.2,0.35,0.5,0.9,"Round 2",9.70069962848379,17.8645984175381,"beta"
"136",136,"96929","Sali Juvenile Survival","Scenario 1c","Refuge",0.3,0.45,0.65,0.9,"Round 2",9.36375738803974,11.2400476855042,"beta"
"137",137,"96929","Sali Juvenile Survival","Scenario 2a","Refuge",0.35,0.5,0.7,0.9,"Round 2",10.6178825840138,10.478914675329,"beta"
"138",138,"96929","Sali Juvenile Survival","Scenario 2b","Refuge",0.2,0.3,0.45,0.9,"Round 2",10.6167058071335,24.5205728494402,"beta"
"139",139,"96929","Sali Juvenile Survival","Scenario 2c","Refuge",0.25,0.35,0.5,0.9,"Round 2",13.2196270117193,24.3805314882375,"beta"
"140",140,"96929","Sali Juvenile Survival","Scenario 3","Refuge",0.4,0.6,0.8,0.9,"Round 2",9.47895236505028,6.46020859474295,"beta"
"141",141,"GuamX","Sali Fledgling Survival","Scenario 1a","HMU",0.2,0.4,0.45,0.9,"Round 2",17.678261911274,26.6081869018614,"beta"
"142",142,"GuamX","Sali Fledgling Survival","Scenario 1b","HMU",0.15,0.25,0.35,0.9,"Round 2",12.8979355385166,38.5595298606291,"beta"
"143",143,"GuamX","Sali Fledgling Survival","Scenario 1c","HMU",0.15,0.3,0.35,0.9,"Round 2",18.7391010356943,43.7105383691173,"beta"
"144",144,"GuamX","Sali Fledgling Survival","Scenario 2a","HMU",0.2,0.4,0.45,0.9,"Round 2",17.6288856046909,26.5382667990756,"beta"
"145",145,"GuamX","Sali Fledgling Survival","Scenario 2b","HMU",0.15,0.25,0.35,0.9,"Round 2",13.1665222239164,39.3766101459257,"beta"
"146",146,"GuamX","Sali Fledgling Survival","Scenario 2c","HMU",0.15,0.3,0.35,0.9,"Round 2",18.8253993352072,43.9350139685926,"beta"
"147",147,"GuamX","Sali Fledgling Survival","Scenario 3","HMU",0.2,0.4,0.45,0.9,"Round 2",17.5582928700928,26.4220798694098,"beta"
"148",148,"GuamX","Sali Fledgling Survival","Scenario 1a","Refuge",0.2,0.4,0.45,0.9,"Round 2",17.5681248922931,26.4597611937711,"beta"
"149",149,"GuamX","Sali Fledgling Survival","Scenario 1b","Refuge",0.15,0.25,0.35,0.9,"Round 2",12.9707270634468,38.7830938419459,"beta"
