"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"135","96929","Ko'ko' Juvenile Survival","Scenario 1b","Refuge",0.3768,0.471,0.58875,0.9,"Round 2"
"136","96929","Ko'ko' Juvenile Survival","Scenario 1c","Refuge",0.4239,0.529875,0.66234375,0.9,"Round 2"
"137","96929","Ko'ko' Juvenile Survival","Scenario 2a","Refuge",0.3768,0.471,0.58875,0.9,"Round 2"
"138","96929","Ko'ko' Juvenile Survival","Scenario 2b","Refuge",0.32028,0.40035,0.5004375,0.9,"Round 2"
"139","96929","Ko'ko' Juvenile Survival","Scenario 2c","Refuge",0.33912,0.4239,0.529875,0.9,"Round 2"
"140","96929","Ko'ko' Juvenile Survival","Scenario 3","Refuge",0.471,0.58875,0.7359375,0.9,"Round 2"
"141","GuamX","Ko'ko' Nest Success","Scenario 1a","HMU",0.4,0.6,0.68,0.85,"Round 2"
"142","GuamX","Ko'ko' Nest Success","Scenario 1b","HMU",0.2,0.4,0.5,0.85,"Round 2"
"143","GuamX","Ko'ko' Nest Success","Scenario 1c","HMU",0.3,0.5,0.5,0.85,"Round 2"
"144","GuamX","Ko'ko' Nest Success","Scenario 2a","HMU",0.4,0.6,0.68,0.85,"Round 2"
"145","GuamX","Ko'ko' Nest Success","Scenario 2b","HMU",0.2,0.4,0.5,0.85,"Round 2"
"146","GuamX","Ko'ko' Nest Success","Scenario 2c","HMU",0.3,0.5,0.5,0.85,"Round 2"
"147","GuamX","Ko'ko' Nest Success","Scenario 3","HMU",0.4,0.6,0.68,0.85,"Round 2"
"148","GuamX","Ko'ko' Nest Success","Scenario 1a","Refuge",0.4,0.6,0.68,0.85,"Round 2"
"149","GuamX","Ko'ko' Nest Success","Scenario 1b","Refuge",0.2,0.4,0.5,0.85,"Round 2"
"150","GuamX","Ko'ko' Nest Success","Scenario 1c","Refuge",0.3,0.5,0.5,0.85,"Round 2"
"151","GuamX","Ko'ko' Nest Success","Scenario 2a","Refuge",0.4,0.6,0.68,0.85,"Round 2"
"152","GuamX","Ko'ko' Nest Success","Scenario 2b","Refuge",0.2,0.4,0.5,0.85,"Round 2"
"153","GuamX","Ko'ko' Nest Success","Scenario 2c","Refuge",0.3,0.5,0.5,0.85,"Round 2"
"154","GuamX","Ko'ko' Nest Success","Scenario 3","Refuge",0.4,0.6,0.68,0.85,"Round 2"
"155","Expert 1","Ko'ko' Nest Success","Scenario 1a","HMU",0.3,0.53,0.8,0.8,"Round 2"
"156","Expert 1","Ko'ko' Nest Success","Scenario 1b","HMU",0.1,0.35,0.65,0.8,"Round 2"
"157","Expert 1","Ko'ko' Nest Success","Scenario 1c","HMU",0.25,0.45,0.7,0.8,"Round 2"
"158","Expert 1","Ko'ko' Nest Success","Scenario 2a","HMU",0.28,0.5,0.7,0.8,"Round 2"
"159","Expert 1","Ko'ko' Nest Success","Scenario 2b","HMU",0.08,0.32,0.6,0.8,"Round 2"
"160","Expert 1","Ko'ko' Nest Success","Scenario 2c","HMU",0.23,0.43,0.65,0.8,"Round 2"
"161","Expert 1","Ko'ko' Nest Success","Scenario 3","HMU",0.28,0.5,0.78,0.8,"Round 2"
"162","Expert 1","Ko'ko' Nest Success","Scenario 1a","Refuge",0.3,0.53,0.8,0.8,"Round 2"
"163","Expert 1","Ko'ko' Nest Success","Scenario 1b","Refuge",0.1,0.35,0.65,0.8,"Round 2"
"164","Expert 1","Ko'ko' Nest Success","Scenario 1c","Refuge",0.25,0.45,0.7,0.8,"Round 2"
"165","Expert 1","Ko'ko' Nest Success","Scenario 2a","Refuge",0.28,0.5,0.7,0.8,"Round 2"
"166","Expert 1","Ko'ko' Nest Success","Scenario 2b","Refuge",0.08,0.32,0.6,0.8,"Round 2"
"167","Expert 1","Ko'ko' Nest Success","Scenario 2c","Refuge",0.23,0.43,0.65,0.8,"Round 2"
"168","Expert 1","Ko'ko' Nest Success","Scenario 3","Refuge",0.28,0.5,0.78,0.8,"Round 2"
"169","aircon","Ko'ko' Nest Success","Scenario 1a","HMU",0.7,0.8,0.9,0.85,"Round 2"
"170","aircon","Ko'ko' Nest Success","Scenario 1b","HMU",0.6,0.7,0.8,0.8,"Round 2"
"171","aircon","Ko'ko' Nest Success","Scenario 1c","HMU",0.65,0.75,0.85,0.8,"Round 2"
"172","aircon","Ko'ko' Nest Success","Scenario 2a","HMU",0.6,0.7,0.8,0.8,"Round 2"
"173","aircon","Ko'ko' Nest Success","Scenario 2b","HMU",0.5,0.6,0.7,0.8,"Round 2"
"174","aircon","Ko'ko' Nest Success","Scenario 2c","HMU",0.55,0.65,0.75,0.8,"Round 2"
"175","aircon","Ko'ko' Nest Success","Scenario 3","HMU",0.7,0.8,0.9,0.85,"Round 2"
"176","aircon","Ko'ko' Nest Success","Scenario 1a","Refuge",0.7,0.8,0.9,0.85,"Round 2"
"177","aircon","Ko'ko' Nest Success","Scenario 1b","Refuge",0.6,0.7,0.8,0.8,"Round 2"
"178","aircon","Ko'ko' Nest Success","Scenario 1c","Refuge",0.65,0.75,0.85,0.8,"Round 2"
"179","aircon","Ko'ko' Nest Success","Scenario 2a","Refuge",0.6,0.7,0.8,0.8,"Round 2"
"180","aircon","Ko'ko' Nest Success","Scenario 2b","Refuge",0.5,0.6,0.7,0.8,"Round 2"
"181","aircon","Ko'ko' Nest Success","Scenario 2c","Refuge",0.55,0.65,0.75,0.8,"Round 2"
"182","aircon","Ko'ko' Nest Success","Scenario 3","Refuge",0.7,0.8,0.9,0.85,"Round 2"
"183","CDEDBDiis","Ko'ko' Nest Success","Scenario 1a","HMU",0.45,0.63,0.7,0.9,"Round 2"
"184","CDEDBDiis","Ko'ko' Nest Success","Scenario 1b","HMU",0.4,0.5,0.5,0.9,"Round 2"
"185","CDEDBDiis","Ko'ko' Nest Success","Scenario 1c","HMU",0.38,0.55,0.6,0.9,"Round 2"
"186","CDEDBDiis","Ko'ko' Nest Success","Scenario 2a","HMU",0.4,0.58,0.65,0.9,"Round 2"
"187","CDEDBDiis","Ko'ko' Nest Success","Scenario 2b","HMU",0.3,0.45,0.55,0.9,"Round 2"
"188","CDEDBDiis","Ko'ko' Nest Success","Scenario 2c","HMU",0.38,0.48,0.55,0.9,"Round 2"
"189","CDEDBDiis","Ko'ko' Nest Success","Scenario 3","HMU",0.45,0.61,0.68,0.9,"Round 2"
"190","CDEDBDiis","Ko'ko' Nest Success","Scenario 1a","Refuge",0.45,0.63,0.7,0.9,"Round 2"
"191","CDEDBDiis","Ko'ko' Nest Success","Scenario 1b","Refuge",0.4,0.5,0.5,0.9,"Round 2"
"192","CDEDBDiis","Ko'ko' Nest Success","Scenario 1c","Refuge",0.38,0.55,0.6,0.9,"Round 2"
"193","CDEDBDiis","Ko'ko' Nest Success","Scenario 2a","Refuge",0.4,0.58,0.65,0.9,"Round 2"
"194","CDEDBDiis","Ko'ko' Nest Success","Scenario 2b","Refuge",0.3,0.45,0.55,0.9,"Round 2"
"195","CDEDBDiis","Ko'ko' Nest Success","Scenario 2c","Refuge",0.38,0.48,0.55,0.9,"Round 2"
"196","CDEDBDiis","Ko'ko' Nest Success","Scenario 3","Refuge",0.45,0.61,0.68,0.9,"Round 2"
"197","96929","Ko'ko' Nest Success","Scenario 1a","HMU",0.5445,0.7425,0.8415,0.9,"Round 2"
"198","96929","Ko'ko' Nest Success","Scenario 1b","HMU",0.4356,0.594,0.6732,0.9,"Round 2"
"199","96929","Ko'ko' Nest Success","Scenario 1c","HMU",0.49005,0.66825,0.75735,0.9,"Round 2"
"200","96929","Ko'ko' Nest Success","Scenario 2a","HMU",0.4356,0.594,0.6732,0.9,"Round 2"
