"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"192","CDEDBDiis","Sali Fledgling Survival","Scenario 1c","Refuge",0.3,0.4,0.5,0.9,"Round 2"
"193","CDEDBDiis","Sali Fledgling Survival","Scenario 2a","Refuge",0.35,0.44,0.5,0.9,"Round 2"
"194","CDEDBDiis","Sali Fledgling Survival","Scenario 2b","Refuge",0.28,0.33,0.35,0.9,"Round 2"
"195","CDEDBDiis","Sali Fledgling Survival","Scenario 2c","Refuge",0.3,0.35,0.4,0.9,"Round 2"
"196","CDEDBDiis","Sali Fledgling Survival","Scenario 3","Refuge",0.35,0.46,0.5,0.9,"Round 2"
"197","96929","Sali Fledgling Survival","Scenario 1a","HMU",0.35,0.45,0.54,0.9,"Round 2"
"198","96929","Sali Fledgling Survival","Scenario 1b","HMU",0.15,0.27,0.45,0.9,"Round 2"
"199","96929","Sali Fledgling Survival","Scenario 1c","HMU",0.2,0.36,0.495,0.9,"Round 2"
"200","96929","Sali Fledgling Survival","Scenario 2a","HMU",0.2,0.27,0.45,0.9,"Round 2"
"201","96929","Sali Fledgling Survival","Scenario 2b","HMU",0.1,0.18,0.36,0.9,"Round 2"
"202","96929","Sali Fledgling Survival","Scenario 2c","HMU",0.15,0.225,0.45,0.9,"Round 2"
"203","96929","Sali Fledgling Survival","Scenario 3","HMU",0.35,0.45,0.54,0.9,"Round 2"
"204","96929","Sali Fledgling Survival","Scenario 1a","Refuge",0.35,0.5,0.6,0.9,"Round 2"
"205","96929","Sali Fledgling Survival","Scenario 1b","Refuge",0.15,0.3,0.5,0.9,"Round 2"
"206","96929","Sali Fledgling Survival","Scenario 1c","Refuge",0.2,0.4,0.55,0.9,"Round 2"
"207","96929","Sali Fledgling Survival","Scenario 2a","Refuge",0.2,0.3,0.5,0.9,"Round 2"
"208","96929","Sali Fledgling Survival","Scenario 2b","Refuge",0.1,0.2,0.4,0.9,"Round 2"
"209","96929","Sali Fledgling Survival","Scenario 2c","Refuge",0.15,0.25,0.5,0.9,"Round 2"
"210","96929","Sali Fledgling Survival","Scenario 3","Refuge",0.35,0.5,0.6,0.9,"Round 2"
"211","GuamX","Sali Nest Success","Scenario 1a","HMU",0.55,0.75,0.9,0.95,"Round 2"
"212","GuamX","Sali Nest Success","Scenario 1b","HMU",0.5,0.55,0.85,0.95,"Round 2"
"213","GuamX","Sali Nest Success","Scenario 1c","HMU",0.55,0.672,0.9,0.95,"Round 2"
"214","GuamX","Sali Nest Success","Scenario 2a","HMU",0.55,0.75,0.9,0.95,"Round 2"
"215","GuamX","Sali Nest Success","Scenario 2b","HMU",0.5,0.55,0.85,0.95,"Round 2"
"216","GuamX","Sali Nest Success","Scenario 2c","HMU",0.55,0.672,0.9,0.95,"Round 2"
"217","GuamX","Sali Nest Success","Scenario 3","HMU",0.55,0.73,0.9,0.95,"Round 2"
"218","GuamX","Sali Nest Success","Scenario 1a","Refuge",0.55,0.75,0.9,0.95,"Round 2"
"219","GuamX","Sali Nest Success","Scenario 1b","Refuge",0.5,0.55,0.85,0.95,"Round 2"
"220","GuamX","Sali Nest Success","Scenario 1c","Refuge",0.55,0.672,0.9,0.95,"Round 2"
"221","GuamX","Sali Nest Success","Scenario 2a","Refuge",0.55,0.75,0.9,0.95,"Round 2"
"222","GuamX","Sali Nest Success","Scenario 2b","Refuge",0.5,0.55,0.85,0.95,"Round 2"
"223","GuamX","Sali Nest Success","Scenario 2c","Refuge",0.55,0.672,0.9,0.95,"Round 2"
"224","GuamX","Sali Nest Success","Scenario 3","Refuge",0.55,0.73,0.9,0.95,"Round 2"
"225","Expert 1","Sali Nest Success","Scenario 1a","HMU",0.5,0.7,0.9,0.8,"Round 2"
"226","Expert 1","Sali Nest Success","Scenario 1b","HMU",0.5,0.7,0.9,0.8,"Round 2"
"227","Expert 1","Sali Nest Success","Scenario 1c","HMU",0.5,0.7,0.9,0.8,"Round 2"
"228","Expert 1","Sali Nest Success","Scenario 2a","HMU",0.5,0.7,0.9,0.8,"Round 2"
